1547
1.927352 11.149436
1.9224955 30.723072 2.387724 
1.921214 30.69112 2.3870242 
1.919937 30.659184 2.3858724 
1.9186664 30.627256 2.3851423 
1.9173939 30.59534 2.3842938 
1.9161304 30.563442 2.3829868 
1.914863 30.531553 2.3822875 
1.9135973 30.499678 2.3812861 
1.9123328 30.467813 2.3804295 
1.911068 30.435959 2.3797188 
1.9098125 30.404121 2.3784108 
1.9085605 30.372293 2.3776891 
1.9073179 30.34048 2.3765237 
1.9060726 30.30868 2.3756778 
1.9048288 30.276888 2.3749623 
1.9035882 30.245111 2.3738146 
1.9023519 30.213346 2.3729486 
1.9011258 30.181595 2.3719232 
1.8999037 30.149857 2.370916 
1.8986846 30.118128 2.3701956 
1.8974667 30.086416 2.3689122 
1.8962532 30.054718 2.3679032 
1.8950402 30.02303 2.367191 
1.8938313 29.991358 2.3658986 
1.8926251 29.959692 2.365464 
1.891425 29.928043 2.364166 
1.8902303 29.896402 2.363582 
1.8890388 29.864777 2.3624349 
1.8878483 29.833164 2.3614361 
1.8866572 29.801561 2.3607264 
1.8854734 29.769978 2.3592832 
1.8842978 29.738403 2.3585486 
1.883131 29.706846 2.357244 
1.8819717 29.675299 2.3565118 
1.8808175 29.64376 2.3557868 
1.8796703 29.61224 2.3544872 
1.8785158 29.580727 2.3539374 
1.877364 29.549227 2.3529344 
1.8762127 29.517736 2.3522217 
1.8750658 29.486256 2.3514981 
1.8739244 29.45479 2.350345 
1.8727874 29.42333 2.3499064 
1.8716553 29.391888 2.3486125 
1.8705199 29.360453 2.3480525 
1.8693873 29.329031 2.3470488 
1.8682488 29.29762 2.3462107 
1.8671125 29.266222 2.3453512 
1.8659756 29.234838 2.3442147 
1.8648427 29.203466 2.3433504 
1.8637164 29.172106 2.3424785 
1.8625911 29.140759 2.3414798 
1.8614675 29.109423 2.340622 
1.8603415 29.0781 2.339632 
1.8592223 29.046785 2.339045 
1.858105 29.015488 2.3377593 
1.8569945 28.984203 2.3367448 
1.8558824 28.95293 2.3358955 
1.854776 28.921673 2.334742 
1.8536687 28.890425 2.3340333 
1.8525664 28.85919 2.333024 
1.8514704 28.827965 2.3322961 
1.8503754 28.796753 2.3312972 
1.8492904 28.765556 2.330133 
1.8482059 28.734373 2.3291357 
1.8471249 28.703203 2.3281305 
1.8460455 28.672043 2.327415 
1.844967 28.640894 2.3265588 
1.8438885 28.609755 2.3258471 
1.8428102 28.578627 2.3249934 
1.8417381 28.547516 2.3236964 
1.840666 28.516418 2.3227003 
1.8396032 28.485338 2.321396 
1.8385437 28.45427 2.3205338 
1.8374959 28.423214 2.319508 
1.8364481 28.39217 2.3186543 
1.8354094 28.361137 2.3177776 
